[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.0G 2888k  434M  167M|100   0   0   0   0   0|  60k  612k
15.0G 2888k  434M  155M|100   0   0   0   0   0| 984k    0 
15.0G 2896k  434M  155M| 94   0   5   0   0   0|  48k   20k
15.0G 2896k  434M  154M|100   0   0   0   0   0|1100k    0 
15.0G 2896k  434M  160M| 94   0   5   0   0   0| 876k    0 
15.0G 2896k  435M  158M|100   0   0   0   0   0|2144k    0 
15.0G 2896k  434M  154M|100   0   0   0   0   0|4296k    0 
15.0G 2872k  410M  175M| 93   0   6   0   0   0|3612k  556k
15.0G 2872k  410M  170M|100   0   0   0   0   0|5164k    0 
15.0G 2872k  411M  187M|100   0   0   0   0   0|1376k    0 
15.0G 2872k  411M  187M| 94   0   6   0   0   0|  76k    0 
15.0G 2872k  411M  187M|100   0   0   0   0   0|  60k    0 
15.0G 2880k  410M  187M|100   0   0   0   0   0| 188k   24k
15.0G 2880k  411M  187M| 94   0   6   0   0   0| 192k    0 
15.0G 2880k  411M  187M|100   0   0   0   0   0| 200k    0 
15.0G 2880k  411M  187M|100   0   0   0   0   0|  44k    0 
15.0G 2880k  411M  187M| 93   0   6   0   0   0|  36k    0 
15.0G 2888k  411M  187M|100   0   0   0   0   0|  72k   12k
15.0G 2888k  411M  187M| 99   0   1   0   0   0|  64k    0 
15.0G 2888k  411M  187M| 95   0   5   0   0   0|  36k    0 
15.0G 2888k  411M  187M|100   0   0   0   0   0|  32k    0 
15.0G 2888k  411M  187M| 94   0   6   0   0   0| 180k    0 
15.0G 2896k  411M  186M|100   0   0   0   0   0|  32k   12k
15.0G 2896k  411M  186M|100   0   0   0   0   0|  56k    0 
15.0G 2896k  411M  186M| 94   0   6   0   0   0|  72k    0 
15.0G 3032k  413M  175M| 92   1   7   0   0   0|6480k    0 
15.0G 3032k  413M  175M| 97   1   2   0   0   0|  48k    0 
15.0G 3040k  413M  175M| 95   0   5   0   0   0| 148k  184k
15.0G 3040k  413M  174M| 93   0   7   0   0   0|  32k    0 
15.0G 3040k  413M  174M|100   0   0   0   0   0|  76k    0 
15.0G 3040k  413M  174M| 94   0   6   0   0   0|  72k    0 
15.0G 3040k  413M  174M| 94   0   6   0   0   0| 124k    0 
15.0G 3048k  413M  174M|100   0   0   0   0   0|  36k  120k
15.0G 3048k  415M  172M| 94   0   6   0   0   0|4424k    0 
15.0G 2984k  419M  170M| 99   1   0   0   0   0| 106M 1536k
15.0G 2920k  429M  163M| 93   2   6   0   0   0| 162M 2320k
15.0G 2872k  433M  163M| 93   2   6   0   0   0| 204M 4464k
15.0G 2972k  432M  170M| 92   2   6   0   0   0| 248M 6496k
15.0G 2924k  435M  171M| 97   2   1   0   0   0| 261M 5440k
15.0G 2876k  457M  155M| 92   2   6   0   0   0| 272M 6748k
15.0G 2776k  443M  161M| 92   2   6   0   0   0| 230M 6048k
15.0G 2676k  443M  167M| 92   2   6   0   0   0| 255M 8068k
15.0G 2620k  453M  162M| 97   3   0   0   0   0| 280M 7752k
15.0G 2544k  447M  172M| 92   2   7   0   0   0| 153M 3728k
15.0G 2444k  448M  172M| 99   1   0   0   0   0| 108M 2908k
15.0G 2444k  467M  153M| 99   0   0   0   0   0|  38M    0 
15.0G 2444k  467M  153M| 93   0   6   0   0   0|  72k    0 
15.0G 2452k  467M  153M|100   0   0   0   0   0| 172k   16k
15.0G 2452k  467M  153M|100   0   0   0   0   0|  96k    0 
15.0G 2452k  468M  163M| 93   0   7   0   0   0| 424k    0 
15.0G 2452k  468M  163M|100   0   0   0   0   0| 632k    0 
15.0G 2452k  468M  163M|100   0   0   0   0   0|  80k    0 
15.0G 2460k  468M  162M| 94   0   6   0   0   0|  52k   20k
15.0G 2460k  468M  162M|100   0   0   0   0   0|  64k    0 
15.0G 2460k  468M  162M| 98   0   2   0   0   0| 188k    0 
15.0G 2460k  468M  154M| 95   0   5   0   0   0|7768k    0 
15.0G 2460k  468M  154M|100   0   0   0   0   0| 176k    0 
15.0G 2468k  468M  153M| 98   0   2   0   0   0| 236k   12k
15.0G 5460k  443M  172M| 95   1   4   0   0   0|6228k 1644k
15.0G 5460k  443M  173M|100   0   0   0   0   0|  72k    0 
15.0G 5460k  443M  173M|100   0   0   0   0   0|  76k    0 
15.0G 5460k  443M  173M| 94   0   6   0   0   0|  44k    0 
15.0G 5468k  443M  173M|100   0   0   0   0   0|  48k   16k
15.0G 5468k  443M  173M| 94   0   6   0   0   0|  92k    0 
15.0G 5476k  443M  173M|100   0   0   0   0   0| 120k   24k
15.0G 5476k  443M  172M|100   0   0   0   0   0|  48k    0 
15.0G 5476k  443M  172M| 95   0   5   0   0   0|  92k    0 
15.0G 5484k  443M  172M|100   0   0   0   0   0| 136k   16k
15.0G 5484k  443M  172M|100   0   0   0   0   0|  20k    0 
15.0G 5484k  443M  172M| 93   0   6   0   0   0| 104k    0 
15.0G 5484k  443M  172M|100   0   0   0   0   0|  68k    0 
15.0G 5484k  443M  172M| 94   0   6   0   0   0|  44k    0 
15.0G 5496k  443M  172M| 94   0   6   0   0   0|  76k  248k
15.0G 5496k  443M  172M| 94   0   6   0   0   0|  48k    0 
15.0G 5496k  443M  172M|100   0   0   0   0   0|  48k    0 
15.0G 5496k  443M  172M| 94   0   6   0   0   0| 108k    0 
15.0G 5496k  464M  152M| 93   1   7   0   0   0|  42M    0 
15.0G 5496k  460M  158M| 99   1   0   0   0   0|  98M 3092k
15.0G 5488k  465M  149M| 93   1   6   0   0   0| 118M 1100k
15.0G 5468k  442M  174M| 93   1   6   0   0   0| 112M 2240k
15.0G 5436k  457M  161M| 98   1   0   0   0   0| 191M 2092k
15.0G 5412k  459M  162M| 92   1   7   0   0   0| 163M 4760k
15.0G 5388k  464M  166M| 91   2   7   0   0   0| 199M 7296k
15.0G 5356k  470M  165M| 91   2   6   0   0   0| 248M 7556k
15.0G 5308k  486M  162M| 98   2   0   0   0   0| 286M 8892k
15.0G 5272k  482M  164M| 92   1   6   0   0   0| 165M 8576k
15.0G 5244k  479M  169M| 99   1   0   0   0   0| 207M   13M
14.9G 5236k  487M  165M| 92   1   7   0   0   0| 130M 8552k
14.9G 5228k  499M  164M| 98   1   0   0   0   0| 141M 8044k
14.9G 5220k  520M  157M| 93   1   6   0   0   0| 101M 6668k
14.9G 5220k  526M  160M| 99   1   0   0   0   0| 106M 8036k
14.9G 5220k  531M  157M| 94   0   6   0   0   0|  40M 1420k
14.9G 5228k  532M  157M|100   0   0   0   0   0| 572k   16k
14.9G 5228k  532M  157M|100   0   0   0   0   0|  68k    0 
14.9G 5232k  532M  160M| 93   0   6   0   0   0| 916k 8192B
14.9G 5428k  519M  169M|100   0   0   0   0   0|  21M 2744k
14.9G 5428k  520M  167M|100   0   0   0   0   0|1696k    0 
14.9G 5440k  520M  167M| 94   0   6   0   0   0| 136k  100k
14.9G 5440k  520M  166M|100   0   0   0   0   0| 316k    0 
14.9G 5440k  520M  166M|100   0   0   0   0   0|  80k    0 
14.9G 5440k  520M  164M| 93   0   7   0   0   0|1500k    0 
14.9G 5440k  520M  164M|100   0   0   0   0   0|  64k    0 
14.9G 5448k  520M  164M|100   0   0   0   0   0| 104k  164k
14.9G 5448k  520M  164M| 94   0   6   0   0   0| 116k    0 
14.9G 5448k  520M  164M|100   0   0   0   0   0|  80k    0 
14.9G 5448k  520M  164M|100   0   0   0   0   0| 140k    0 
14.9G 5448k  520M  164M| 94   0   6   0   0   0|  60k    0 
14.9G 5456k  520M  163M|100   0   0   0   0   0| 108k  184k
14.9G 5456k  520M  163M| 98   0   2   0   0   0| 104k    0 
14.9G 5456k  520M  163M| 95   0   5   0   0   0|  52k    0 
14.9G 5456k  520M  163M|100   0   0   0   0   0|  88k    0 
14.9G 5456k  520M  161M| 94   0   6   0   0   0|1796k    0 
14.9G 5464k  521M  161M|100   0   0   0   0   0| 684k   20k
14.9G 5464k  521M  161M| 94   0   6   0   0   0|  32k 4096B
14.9G 5464k  521M  160M|100   0   0   0   0   0| 468k    0 
14.9G 5464k  521M  160M| 94   0   6   0   0   0|  72k    0 
14.9G 5464k  521M  160M| 94   0   6   0   0   0|  44k    0 
14.9G 5472k  524M  157M|100   0   0   0   0   0|6356k   12k
14.9G 5456k  514M  169M| 94   0   6   0   0   0|  31M 2316k
14.9G 5452k  528M  158M| 94   0   5   0   0   0|  59M  700k
14.9G 5440k  524M  166M| 93   1   6   0   0   0|  84M 4228k
14.9G 5408k  532M  165M| 99   1   0   0   0   0| 139M 4424k
14.9G 5392k  538M  166M| 93   1   6   0   0   0| 135M 5944k
14.9G 5372k  535M  174M| 93   1   6   0   0   0| 152M 5524k
