[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.1G 5780k 91.6M  403M|  1  96   3   0   0   0| 270M  440k
15.1G 5780k 91.6M  403M|  1  92   7   0   0   0| 164M    0 
15.1G 5780k 91.6M  403M|  0  97   3   0   0   0| 240M    0 
15.1G 5788k 91.6M  403M|  1  91   8   0   0   0| 150M   32k
15.1G 5788k 91.6M  403M|  0  98   1   0   0   0| 150M    0 
15.1G 5796k 91.6M  403M|  1  91   8   0   0   0|  40M   24k
15.1G 5796k 91.6M  403M|  1  98   1   0   0   0|  42M  160k
15.1G 5796k 91.6M  403M|  0  96   4   0   0   0|  21M    0 
15.1G 5804k 91.6M  403M|  1  94   6   0   0   0| 402k   32k
15.1G 5804k 91.6M  403M|  0  99   0   0   0   0| 153k    0 
15.1G 5804k 91.6M  403M|  0  92   7   0   0   0|  80k    0 
15.1G 5812k 91.6M  403M|  0  99   0   0   0   0| 348k  180k
15.1G 5812k 91.6M  403M|  0  93   7   0   0   0| 160k   72k
15.1G 5820k 91.6M  403M|  1  98   1   0   0   0| 160k   92k
15.1G 5820k 91.7M  403M|  1  96   3   0   0   0|2763k    0 
15.1G 5820k 91.7M  403M|  0  94   5   0   0   0|1489k    0 
15.1G 5820k 91.7M  403M|  1  99   0   0   0   0|  80k    0 
15.1G 5828k 91.7M  403M|  0  93   7   0   0   0| 259k   24k
15.1G 5836k 91.7M  403M|  0  99   0   0   0   0|1011k   32k
15.1G 5836k 91.7M  403M|  1  93   7   0   0   0| 667k    0 
15.1G 5836k 91.7M  403M|  1  99   1   0   0   0| 184k  136k
15.1G 5836k 91.7M  403M|  1  92   7   0   0   0| 153k    0 
15.1G 5836k 91.7M  403M|  1  99   0   0   0   0| 348k    0 
15.1G 5844k 91.7M  403M|  0  93   6   0   0   0| 466k   32k
15.1G 5844k 91.7M  403M|  1  93   7   0   0   0|  12M    0 
15.1G 5852k 91.7M  403M|  0  95   5   0   0   0| 659k   24k
15.1G 5852k 91.7M  403M|  1  96   3   0   0   0|1124k    0 
15.1G 5852k 91.7M  403M|  0  93   7   0   0   0|1184k    0 
15.1G 5860k 91.7M  403M|  1  89  10   0   0   0| 905k   32k
15.1G 5860k 91.7M  403M|  1  97   2   0   0   0| 644k  376k
15.1G 5860k 91.7M  403M|  0  93   7   0   0   0| 472k    0 
15.1G 5860k 91.7M  403M|  0  92   7   0   0   0|  16M    0 
15.1G 5860k 91.7M  403M|  0  99   1   0   0   0|  36M    0 
15.1G 5868k 91.7M  403M|  1  93   7   0   0   0|  37M   32k
15.1G 5868k 91.7M  403M|  1  99   1   0   0   0|  36M    0 
15.1G 5876k 91.7M  403M|  0  92   8   0   0   0|  48M   24k
15.1G 5876k 91.7M  403M|  0  93   6   0   0   0|  62M  312k
15.1G 5876k 91.7M  403M|  2  97   1   0   0   0| 169M    0 
15.1G 5884k 91.7M  403M|  1  93   7   0   0   0| 238M   32k
15.1G 5884k 91.7M  403M|  1  92   7   0   0   0| 184M    0 
15.1G 5884k 91.7M  403M|  1  97   2   0   0   0| 242M    0 
15.1G 5892k 91.7M  403M|  1  94   6   0   0   0| 198M   24k
15.1G 5896k 91.7M  403M|  0  91   8   0   0   0| 177M  148k
15.1G 5904k 91.7M  403M|  1  98   1   0   0   0| 210M  224k
15.1G 5904k 91.7M  403M|  1  90   9   0   0   0| 162M    0 
15.1G 5904k 91.7M  403M|  1  93   5   0   0   0| 188M    0 
15.1G 5904k 91.7M  403M|  1  94   5   0   0   0| 138M    0 
15.1G 5904k 91.8M  403M|  0  99   0   0   0   0|  53M  128k
15.1G 5912k 91.8M  403M|  0  92   8   0   0   0|6433k   64k
15.1G 5920k 91.8M  403M|  0  99   1   0   0   0| 113k  136k
15.1G 5920k 91.8M  403M|  1  99   1   0   0   0|1499k    0 
15.1G 5920k 91.8M  403M|  0  91   8   0   0   0| 161k    0 
15.1G 5920k 91.8M  403M|  1  99   0   0   0   0| 661k    0 
15.1G 6084k 91.8M  403M|  1  93   6   0   0   0| 506k   32k
15.1G 6092k 91.8M  403M|  1  99   0   0   0   0| 128k   24k
15.1G 6092k 91.8M  403M|  0  93   7   0   0   0|  80k    0 
15.1G 6092k 91.8M  403M|  1  99   0   0   0   0| 289k    0 
15.1G 6092k 91.8M  403M|  0  91   9   0   0   0|  96k    0 
15.1G 6100k 91.8M  403M|  0  99   0   0   0   0| 121k   32k
15.1G 6100k 91.8M  403M|  1  99   0   0   0   0| 272k    0 
15.1G 6100k 91.8M  403M|  1  92   7   0   0   0| 288k    0 
