[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.4G  324k 70.6M  145M| 93   6   0   0   0   0|  67M 2964k
15.4G  324k 75.1M  145M| 85   9   5   1   0   0| 108M 3180k
15.4G  324k 73.0M  146M| 90   8   2   1   0   0|  80M 1968k
15.4G  324k 75.1M  145M| 84   7   8   1   0   0|  81M 2792k
15.4G  324k 70.5M  145M| 93   6   0   0   0   0|  68M  420k
15.4G  332k 72.2M  146M| 64   9  21   5   0   0| 117M 4588k
15.4G  328k 72.9M  142M| 82  13   1   3   0   1| 242M 2040k
15.4G  384k 76.1M  137M| 47  15   6  32   0   1| 255M   92k
15.4G  360k 77.6M  133M|  7  15  21  57   0   0| 199M  436k
15.4G  356k 73.8M  138M|  4  15   7  74   0   0| 228M 3376k
15.4G  360k 72.7M  144M| 46  14   0  39   0   1| 367M 6384k
15.4G  348k 73.7M  143M| 30  15   2  53   0   0| 179M  764k
15.4G  348k 77.6M  140M| 55  14   2  28   0   1| 352M 4252k
15.4G  348k 74.0M  142M| 36  16   4  44   0   0|  55M 1888k
15.4G  348k 72.6M  146M| 58  11  19  11   0   0| 136M 2676k
15.4G  352k 71.5M  145M| 89   9   1   0   0   0| 111M 2832k
15.4G  344k 70.3M  146M| 69   9  16   6   0   0| 119M 3556k
15.4G  344k 71.0M  145M| 92   8   0   0   0   0|  78M 3560k
15.4G  344k 71.4M  142M| 63  12  13  13   0   0| 183M 2300k
15.4G  344k 70.9M  147M| 91   9   0   0   0   0| 105M 4052k
15.4G  344k 71.0M  146M| 31   8  23  37   0   0| 375M 8488k
15.4G  360k 75.1M  141M| 37  17   3  42   0   1| 113M 1496k missed 2 ticks
15.4G  360k 74.2M  141M| 85  14   0   0   0   1| 121M  688k
15.4G  432k 68.8M  144M| 79   9  11   0   0   0| 118M 2232k
15.4G  424k 69.4M  143M| 80  11   7   2   0   0| 153M 5700k
15.4G  408k 69.1M  146M| 62  14  14  10   0   1| 245M 2340k
15.4G  404k 68.2M  141M| 62  16   7  14   0   1| 216M 2860k
15.4G  400k 69.8M  144M| 41  15  26  18   0   1| 159M 2412k
15.4G  404k 68.8M  143M| 83  12   3   1   0   1| 188M 4148k
15.4G  376k 71.9M  143M| 52  12   9  26   0   1| 241M 4736k
15.4G  528k 66.1M  147M| 78  10   8   4   0   0| 128M 4972k
15.4G  404k 69.9M  142M| 56  15  22   6   0   1| 190M 2324k
15.4G  392k 71.1M  142M| 65  14   3  18   0   1| 333M 5440k
15.4G  380k 73.8M  138M| 26  15  23  36   0   0| 188M 3460k
15.4G  376k 72.3M  141M| 84  13   0   2   0   1| 165M 2836k
15.4G  424k 74.5M  134M| 64  12  14   8   0   1| 168M 2040k
15.4G  416k 72.9M  138M| 79  12   6   1   0   1| 235M 5940k
15.4G  396k 67.4M  141M| 43  15   8  34   0   1| 302M 3472k
15.4G  368k 74.1M  135M|  3  15   9  73   0   0| 175M 1944k
15.4G  348k 69.8M  139M| 66  15  10   8   0   1| 587M 6824k
15.4G  344k 75.6M  132M| 29  16   3  51   0   1|  76M  820k
15.4G  332k 70.8M  137M| 50  17  24   8   0   1|  51M  108k
15.4G  344k 68.7M  137M| 86  12   0   1   0   1| 274M 2476k
