application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,1.01,3.03742,0.311503,0.555418,91.1946,72.5796,2.69226,0.0760246,71.861,2.66561,12428.1
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.83548,0.192348,0.482213,92.2465,72.5053,2.71806,0.0750729,72.6506,2.72351,12240.5
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.74521,0.165135,0.322723,91.3499,67.4043,2.44421,0.0697088,67.5394,2.4491,9994.49
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.12339,0.282929,0.257077,99.999,66.1353,2.15782,0.0681565,66.2679,2.16214,7942.42
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.02408,0.290617,0.246827,92.5017,63.4346,2.08391,0.065453,63.4981,2.08599,7667.28
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.22177,0.296041,0.271082,99.9992,67.0502,2.24849,0.0691601,67.1845,2.25299,8438.75
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.00106,0.317855,0.251895,96.6182,64.379,2.03282,0.066279,64.508,2.03689,7499.29
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.402372,0.0413655,0.107537,79.7189,57.926,2.33316,0.0601387,58.0421,2.33783,13839.1
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.916722,0.165659,0.22356,87.3667,61.7473,2.30588,0.0639251,61.8711,2.3105,10633
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.16361,0.293798,0.282475,99.561,66.4282,2.1577,0.0684487,66.5613,2.16202,8082.28
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.13733,0.281918,0.260923,92.4145,64.1757,2.14898,0.066192,64.3043,2.15328,8274.08
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.04829,0.329866,0.265004,99.9991,65.7724,2.13481,0.0678393,65.8382,2.13695,7711.4
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.1195,0.292727,0.258455,92.4923,64.1465,2.17792,0.0661918,64.275,2.18229,8164.59
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.04773,0.332943,0.265669,99.779,65.5278,2.05155,0.0674442,65.6591,2.05566,7563.58
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.12524,0.28554,0.269049,92.3146,64.0587,2.11579,0.0660421,64.187,2.12003,8060.29
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.16663,0.327933,0.270049,99.9992,66.9575,2.22343,0.0690426,67.0917,2.22788,8505.34
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.1986,0.282397,0.266981,92.7846,64.9818,2.27277,0.06712,65.112,2.27732,8704.11
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.03253,0.353137,0.257222,99.9994,65.9888,2.17696,0.0680295,66.1211,2.18132,7910.21
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.15472,0.288172,0.253689,92.9904,64.6536,2.2034,0.0667233,64.7832,2.20781,8605.26
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.05079,0.360267,0.25577,99.9993,66.0547,2.16643,0.0680847,66.1871,2.17078,8019.24
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.02289,0.332441,0.248281,92.8894,63.8359,2.13611,0.0658401,63.9639,2.14039,8056.38
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.01661,0.354752,0.229566,94.2512,64.405,2.25173,0.0665234,64.5341,2.25624,8689.27
