application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.10941,0.388037,0.542511,81.6676,69.0082,3.15234,0.0720162,69.1465,3.15865,16862.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.06765,0.385718,0.544317,82.771,69.0317,3.14577,0.0720332,69.1701,3.15208,16720.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.12158,0.359945,0.525125,81.3185,68.8927,3.22022,0.0719687,69.0308,3.22667,17246.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.001,2.14838,0.391466,0.548365,80.8434,68.8544,3.22206,0.0721485,68.7856,3.21884,17281.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.97422,0.381834,0.539559,85.1381,69.1332,3.07628,0.072065,69.2717,3.08244,15910.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.05183,0.407244,0.551887,82.7073,69.0366,3.07836,0.0719708,69.175,3.08453,16554.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.413982,0.0516892,0.158981,79.8457,58.1821,2.31209,0.0604337,58.2403,2.3144,12653.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.25449,0.177717,0.351754,80.2725,63.1786,2.79655,0.0658432,63.3052,2.80215,15392.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.411037,0.0596726,0.153666,80.0276,58.3691,2.43259,0.0607409,58.4276,2.43503,14044.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.006,1.32032,0.189603,0.367836,78.0566,62.6224,2.70417,0.0657186,62.2489,2.68804,14882.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,2.09128,0.386579,0.545537,83.0919,69.4958,3.18843,0.0726843,69.4958,3.18843,17006.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.80298,0.297442,0.48086,85.9309,68.7469,3.17974,0.0718548,68.8158,3.18292,17353.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.001,2.09352,0.386765,0.548258,83.3391,69.6296,3.17233,0.0728747,69.56,3.16916,17066.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.11226,0.388175,0.541626,82.8025,69.7071,3.23543,0.0727966,69.8468,3.24191,17189.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.11617,0.38798,0.53919,80.6026,68.5289,3.14091,0.0715265,68.6663,3.1472,16769.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.03766,0.399589,0.548448,83.5966,69.2011,3.12074,0.0721772,69.3398,3.12699,16621
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.29237,0.189326,0.357002,79.7563,63.6213,2.79167,0.0662801,63.7488,2.79726,14987.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.4018,0.0485711,0.139684,78.5589,57.7664,2.44815,0.0601544,57.8242,2.4506,13634
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.23904,0.186386,0.356903,82.2648,64.3082,2.85073,0.0670246,64.437,2.85644,15557.7
